year,month,state_and_area,tot_employed,percent_of_population,tot_unemployed,unemployment_Rate
2018,Apr,Massachusetts,"3,676,332",64.7,"136,674",3.6
2018,Apr,Michigan,"4,738,451",59.1,"204,892",4.1
2018,Apr,Minnesota,"2,983,197",67.7,"90,919",3
2018,Apr,Mississippi,"1,208,847",53,"62,052",4.9
2018,Apr,Missouri,"2,951,076",61.7,"100,788",3.3
2018,Apr,Montana,"513,700",60.9,"20,107",3.8
2018,Apr,Nebraska,"1,004,769",67.8,"29,501",2.9
2018,Apr,Nevada,"1,419,234",60.5,"66,169",4.5
2018,Apr,New Hampshire,"748,808",66.9,"20,698",2.7
2018,Apr,New Jersey,"4,410,368",60.4,"193,266",4.2
2018,Apr,New Mexico,"898,068",55,"45,388",4.8
2018,Apr,New York,"9,412,158",58.1,"411,099",4.2
2018,Apr,New York city,"4,095,568",57.7,"176,285",4.1
2018,Apr,North Carolina,"4,711,885",58.8,"194,585",4
2018,Apr,North Dakota,"402,954",68.4,"10,237",2.5
2018,Apr,Ohio,"5,553,048",60,"264,646",4.5
2018,Apr,Oklahoma,"1,774,190",59.3,"62,459",3.4
2018,Apr,Oregon,"1,998,035",59.5,"81,227",3.9
2018,Apr,Pennsylvania,"6,205,079",59.8,"292,722",4.5
2018,Apr,Rhode Island,"549,710",62,"23,629",4.1
2018,Apr,South Carolina,"2,194,735",55.8,"75,274",3.3
2018,Apr,South Dakota,"446,182",67.4,"13,064",2.8
2018,Apr,Tennessee,"3,133,120",58.8,"113,658",3.5
2018,Apr,Texas,"13,152,629",61.5,"546,136",4
2018,Apr,Utah,"1,533,639",66.6,"46,567",2.9
2018,Apr,Vermont,"346,783",65.5,"9,131",2.6
2018,Apr,Virginia,"4,230,473",63.5,"134,432",3.1
2018,Apr,Washington,"3,627,090",61.2,"167,594",4.4
2018,Apr,West Virginia,"751,531",51.5,"41,896",5.3
2018,Apr,Wisconsin,"3,041,152",65.6,"93,220",3
2018,Apr,Wyoming,"280,917",63.1,"11,820",4
2018,May,Alabama,"2,149,130",55,"89,436",4
2018,May,Alaska,"334,894",61.4,"21,332",6
2018,May,Arizona,"3,157,523",58.3,"154,544",4.7
2018,May,Arkansas,"1,293,980",55.8,"48,463",3.6
2018,May,California,"18,485,203",59.7,"809,966",4.2
2018,May,Los Angeles County,"4,892,359",60.5,"235,217",4.6
2018,May,Colorado,"2,961,309",66.7,"92,216",3
2018,May,Connecticut,"1,846,935",63.5,"75,282",3.9
2018,May,Delaware,"463,069",60,"18,078",3.8
2018,May,District of Columbia,"374,472",66.7,"22,638",5.7
2018,May,Florida,"9,739,894",57.2,"373,487",3.7
2018,May,Georgia,"4,929,596",61,"205,440",4
2018,May,Hawaii,"679,901",60.5,"15,941",2.3
2018,May,Idaho,"836,240",62.3,"23,971",2.8
2018,May,Illinois,"6,278,603",62,"279,046",4.3
2018,May,Indiana,"3,287,610",63,"115,230",3.4
2018,May,Iowa,"1,668,837",67.5,"43,141",2.5
2018,May,Kansas,"1,444,886",64.7,"49,734",3.3
2018,May,Kentucky,"1,971,050",56.3,"86,843",4.2
2018,May,Louisiana,"2,013,112",56.2,"104,437",4.9
2018,May,Maine,"680,528",61.2,"21,850",3.1
2018,May,Maryland,"3,143,853",65.2,"125,478",3.8
2018,May,Massachusetts,"3,687,349",64.8,"135,378",3.5
2018,May,Michigan,"4,744,662",59.1,"200,016",4
2018,May,Minnesota,"2,984,655",67.6,"89,608",2.9
2018,May,Mississippi,"1,208,925",53,"61,886",4.9
2018,May,Missouri,"2,953,143",61.7,"97,697",3.2
2018,May,Montana,"514,707",61,"19,907",3.7
2018,May,Nebraska,"1,006,243",67.9,"29,445",2.8
2018,May,Nevada,"1,424,714",60.6,"64,995",4.4
2018,May,New Hampshire,"750,585",67,"20,533",2.7
2018,May,New Jersey,"4,417,829",60.5,"190,222",4.1
2018,May,New Mexico,"899,482",55.1,"44,714",4.7
2018,May,New York,"9,428,753",58.2,"401,034",4.1
2018,May,New York city,"4,095,441",57.6,"173,264",4.1
2018,May,North Carolina,"4,719,136",58.9,"192,855",3.9
2018,May,North Dakota,"402,699",68.3,"9,884",2.4
2018,May,Ohio,"5,560,130",60,"263,618",4.5
2018,May,Oklahoma,"1,774,569",59.3,"60,224",3.3
2018,May,Oregon,"1,997,707",59.4,"80,132",3.9
2018,May,Pennsylvania,"6,217,321",59.9,"286,516",4.4
2018,May,Rhode Island,"550,761",62.1,"23,078",4
2018,May,South Carolina,"2,200,403",55.8,"73,700",3.2
2018,May,South Dakota,"446,680",67.4,"12,857",2.8
2018,May,Tennessee,"3,140,122",58.9,"113,148",3.5
2018,May,Texas,"13,176,416",61.6,"540,919",3.9
2018,May,Utah,"1,536,566",66.6,"46,311",2.9
2018,May,Vermont,"347,144",65.5,"8,845",2.5
2018,May,Virginia,"4,233,868",63.5,"128,628",2.9
2018,May,Washington,"3,637,867",61.3,"164,950",4.3
2018,May,West Virginia,"753,131",51.6,"41,389",5.2
2018,May,Wisconsin,"3,038,761",65.5,"93,990",3
2018,May,Wyoming,"281,065",63.1,"11,743",4
2018,Jun,Alabama,"2,152,116",55,"89,286",4
2018,Jun,Alaska,"334,808",61.4,"21,092",5.9
2018,Jun,Arizona,"3,165,561",58.3,"154,634",4.7
2018,Jun,Arkansas,"1,294,216",55.8,"47,748",3.6
2018,Jun,California,"18,495,575",59.7,"804,603",4.2
2018,Jun,Los Angeles County,"4,889,001",60.5,"234,651",4.6
2018,Jun,Colorado,"2,964,578",66.6,"93,830",3.1
2018,Jun,Connecticut,"1,850,699",63.6,"74,196",3.9
2018,Jun,Delaware,"463,154",60,"17,721",3.7
2018,Jun,District of Columbia,"373,972",66.6,"22,263",5.6
2018,Jun,Florida,"9,757,459",57.2,"366,943",3.6
2018,Jun,Georgia,"4,928,630",60.9,"201,950",3.9
2018,Jun,Hawaii,"678,752",60.4,"16,359",2.4
2018,Jun,Idaho,"837,884",62.3,"23,889",2.8
2018,Jun,Illinois,"6,277,389",61.9,"278,096",4.2
2018,Jun,Indiana,"3,290,515",63,"116,312",3.4
2018,Jun,Iowa,"1,671,232",67.6,"42,643",2.5
2018,Jun,Kansas,"1,445,332",64.7,"49,389",3.3
2018,Jun,Kentucky,"1,970,474",56.3,"87,081",4.2
2018,Jun,Louisiana,"2,009,891",56.1,"104,427",4.9
2018,Jun,Maine,"680,222",61.2,"22,395",3.2
2018,Jun,Maryland,"3,145,249",65.2,"124,073",3.8
2018,Jun,Massachusetts,"3,694,639",64.9,"133,804",3.5
2018,Jun,Michigan,"4,746,335",59.1,"197,425",4
2018,Jun,Minnesota,"2,984,479",67.6,"88,891",2.9
2018,Jun,Mississippi,"1,207,935",53,"61,555",4.8
2018,Jun,Missouri,"2,953,221",61.7,"95,110",3.1
2018,Jun,Montana,"515,374",61,"19,763",3.7
2018,Jun,Nebraska,"1,007,005",67.9,"29,575",2.9
2018,Jun,Nevada,"1,429,301",60.7,"64,022",4.3
2018,Jun,New Hampshire,"751,625",67.1,"20,273",2.6
2018,Jun,New Jersey,"4,422,709",60.5,"186,676",4
2018,Jun,New Mexico,"900,068",55.1,"44,465",4.7
2018,Jun,New York,"9,438,572",58.2,"392,365",4
2018,Jun,New York city,"4,092,322",57.6,"170,556",4
2018,Jun,North Carolina,"4,722,123",58.8,"192,334",3.9
2018,Jun,North Dakota,"402,179",68.2,"9,585",2.3
2018,Jun,Ohio,"5,563,685",60.1,"261,361",4.5
2018,Jun,Oklahoma,"1,773,680",59.2,"58,251",3.2
2018,Jun,Oregon,"1,996,678",59.3,"79,781",3.8
2018,Jun,Pennsylvania,"6,225,972",59.9,"281,791",4.3
2018,Jun,Rhode Island,"551,233",62.1,"22,661",3.9
2018,Jun,South Carolina,"2,204,417",55.9,"73,709",3.2
2018,Jun,South Dakota,"446,914",67.4,"12,678",2.8
2018,Jun,Tennessee,"3,145,062",58.9,"112,794",3.5
2018,Jun,Texas,"13,191,095",61.6,"535,155",3.9
2018,Jun,Utah,"1,538,626",66.6,"46,127",2.9
2018,Jun,Vermont,"347,274",65.5,"8,599",2.4
2018,Jun,Virginia,"4,232,960",63.5,"123,675",2.8
2018,Jun,Washington,"3,646,420",61.4,"162,988",4.3
2018,Jun,West Virginia,"754,150",51.7,"40,823",5.1
2018,Jun,Wisconsin,"3,034,386",65.4,"94,304",3
2018,Jun,Wyoming,"281,040",63.1,"11,735",4
2018,Jul,Alabama,"2,154,387",55.1,"88,697",4
2018,Jul,Alaska,"334,563",61.3,"20,923",5.9
2018,Jul,Arizona,"3,172,389",58.4,"155,804",4.7
2018,Jul,Arkansas,"1,294,291",55.8,"47,366",3.5
2018,Jul,California,"18,495,896",59.7,"801,807",4.2
2018,Jul,Los Angeles County,"4,883,098",60.4,"234,762",4.6
2018,Jul,Colorado,"2,966,133",66.6,"95,091",3.1
2018,Jul,Connecticut,"1,853,634",63.7,"73,203",3.8
2018,Jul,Delaware,"462,949",59.9,"17,372",3.6
2018,Jul,District of Columbia,"373,263",66.4,"21,819",5.5
2018,Jul,Florida,"9,770,969",57.2,"360,590",3.6
2018,Jul,Georgia,"4,925,388",60.8,"198,971",3.9
2018,Jul,Hawaii,"677,002",60.2,"16,772",2.4
2018,Jul,Idaho,"839,164",62.3,"23,947",2.8
2018,Jul,Illinois,"6,274,164",61.9,"278,652",4.3
2018,Jul,Indiana,"3,289,109",62.9,"116,967",3.4
2018,Jul,Iowa,"1,672,132",67.6,"42,452",2.5
2018,Jul,Kansas,"1,444,952",64.7,"49,162",3.3
2018,Jul,Kentucky,"1,968,482",56.2,"87,101",4.2
2018,Jul,Louisiana,"2,006,232",56,"103,483",4.9
2018,Jul,Maine,"679,458",61.1,"22,861",3.3
2018,Jul,Maryland,"3,145,774",65.2,"122,548",3.7
2018,Jul,Massachusetts,"3,698,801",64.9,"131,873",3.4
2018,Jul,Michigan,"4,745,013",59.1,"197,187",4
2018,Jul,Minnesota,"2,983,367",67.5,"88,682",2.9
2018,Jul,Mississippi,"1,205,989",52.9,"61,263",4.8
2018,Jul,Missouri,"2,951,984",61.6,"93,293",3.1
2018,Jul,Montana,"515,831",61,"19,639",3.7
2018,Jul,Nebraska,"1,007,347",67.9,"29,777",2.9
2018,Jul,Nevada,"1,433,169",60.7,"63,367",4.2
2018,Jul,New Hampshire,"752,083",67.1,"19,959",2.6
2018,Jul,New Jersey,"4,425,537",60.5,"182,367",4
2018,Jul,New Mexico,"899,990",55.1,"44,652",4.7
2018,Jul,New York,"9,442,483",58.2,"386,141",3.9
2018,Jul,New York city,"4,087,579",57.5,"168,965",4
2018,Jul,North Carolina,"4,721,774",58.8,"192,665",3.9
2018,Jul,North Dakota,"401,599",68.1,"9,362",2.3
2018,Jul,Ohio,"5,563,748",60,"258,822",4.4
2018,Jul,Oklahoma,"1,772,156",59.1,"56,702",3.1
2018,Jul,Oregon,"1,995,059",59.2,"80,432",3.9
2018,Jul,Pennsylvania,"6,231,756",60,"278,454",4.3
2018,Jul,Rhode Island,"551,163",62.1,"22,411",3.9
2018,Jul,South Carolina,"2,207,615",55.9,"74,588",3.3
2018,Jul,South Dakota,"446,846",67.4,"12,509",2.7
2018,Jul,Tennessee,"3,148,377",58.9,"112,591",3.5
2018,Jul,Texas,"13,199,505",61.5,"529,213",3.9
2018,Jul,Utah,"1,540,090",66.5,"45,964",2.9
2018,Jul,Vermont,"347,161",65.5,"8,421",2.4
2018,Jul,Virginia,"4,229,820",63.4,"120,456",2.8
2018,Jul,Washington,"3,653,121",61.4,"162,332",4.3
2018,Jul,West Virginia,"754,671",51.8,"40,208",5.1
2018,Jul,Wisconsin,"3,029,065",65.2,"94,090",3
2018,Jul,Wyoming,"280,894",63.1,"11,787",4
2018,Aug,Alabama,"2,156,606",55.1,"87,982",3.9
2018,Aug,Alaska,"334,161",61.2,"20,853",5.9
2018,Aug,Arizona,"3,178,981",58.4,"158,324",4.7
2018,Aug,Arkansas,"1,294,614",55.7,"47,510",3.5
2018,Aug,California,"18,493,301",59.7,"804,087",4.2
2018,Aug,Los Angeles County,"4,877,706",60.3,"235,978",4.6
2018,Aug,Colorado,"2,967,218",66.5,"96,078",3.1
2018,Aug,Connecticut,"1,855,994",63.8,"72,494",3.8
2018,Aug,Delaware,"462,767",59.8,"17,101",3.6
2018,Aug,District of Columbia,"372,592",66.3,"21,516",5.5
2018,Aug,Florida,"9,781,708",57.2,"356,132",3.5
2018,Aug,Georgia,"4,921,956",60.7,"197,365",3.9
2018,Aug,Hawaii,"674,923",60,"17,225",2.5
2018,Aug,Idaho,"840,375",62.2,"24,190",2.8
2018,Aug,Illinois,"6,270,691",61.9,"281,119",4.3
2018,Aug,Indiana,"3,285,287",62.8,"117,573",3.5
2018,Aug,Iowa,"1,672,377",67.5,"42,657",2.5
2018,Aug,Kansas,"1,444,346",64.6,"49,211",3.3
2018,Aug,Kentucky,"1,965,952",56.1,"87,017",4.2
2018,Aug,Louisiana,"2,003,075",55.9,"102,273",4.9
2018,Aug,Maine,"678,519",61,"23,246",3.3
2018,Aug,Maryland,"3,147,108",65.2,"121,206",3.7
2018,Aug,Massachusetts,"3,701,355",64.9,"130,045",3.4
2018,Aug,Michigan,"4,743,536",59,"199,010",4
2018,Aug,Minnesota,"2,982,419",67.4,"89,500",2.9
2018,Aug,Mississippi,"1,204,143",52.8,"61,531",4.9
2018,Aug,Missouri,"2,950,566",61.6,"92,686",3
2018,Aug,Montana,"516,289",61,"19,591",3.7
2018,Aug,Nebraska,"1,007,672",67.8,"30,122",2.9
2018,Aug,Nevada,"1,436,752",60.8,"63,251",4.2
2018,Aug,New Hampshire,"752,295",67.1,"19,705",2.6
2018,Aug,New Jersey,"4,427,631",60.5,"178,110",3.9
2018,Aug,New Mexico,"899,630",55,"45,336",4.8
2018,Aug,New York,"9,443,161",58.2,"383,847",3.9
2018,Aug,New York city,"4,083,074",57.4,"169,405",4
2018,Aug,North Carolina,"4,720,444",58.7,"194,016",3.9
2018,Aug,North Dakota,"401,191",68,"9,263",2.3
2018,Aug,Ohio,"5,563,148",60,"257,808",4.4
2018,Aug,Oklahoma,"1,770,551",59,"55,905",3.1
2018,Aug,Oregon,"1,993,756",59.1,"82,156",4
2018,Aug,Pennsylvania,"6,236,612",60,"276,822",4.3
2018,Aug,Rhode Island,"550,774",62,"22,355",3.9
2018,Aug,South Carolina,"2,211,124",55.9,"75,571",3.3
2018,Aug,South Dakota,"446,865",67.3,"12,400",2.7
2018,Aug,Tennessee,"3,151,256",58.9,"112,766",3.5
2018,Aug,Texas,"13,205,883",61.5,"525,426",3.8
2018,Aug,Utah,"1,541,493",66.5,"45,881",2.9
2018,Aug,Vermont,"346,919",65.4,"8,340",2.3
2018,Aug,Virginia,"4,227,022",63.3,"119,875",2.8
2018,Aug,Washington,"3,659,168",61.4,"163,279",4.3
2018,Aug,West Virginia,"754,857",51.8,"39,774",5
2018,Aug,Wisconsin,"3,024,217",65.1,"93,745",3
2018,Aug,Wyoming,"280,727",63,"11,886",4.1
2018,Sep,Alabama,"2,159,434",55.1,"87,344",3.9
2018,Sep,Alaska,"333,616",61.1,"20,907",5.9
2018,Sep,Arizona,"3,186,038",58.4,"161,899",4.8
2018,Sep,Arkansas,"1,295,453",55.8,"48,214",3.6
2018,Sep,California,"18,493,118",59.7,"812,030",4.2
2018,Sep,Los Angeles County,"4,874,976",60.3,"237,961",4.7
2018,Sep,Colorado,"2,969,146",66.5,"96,738",3.2
2018,Sep,Connecticut,"1,857,909",63.8,"72,138",3.7
2018,Sep,Delaware,"462,829",59.7,"16,956",3.5
2018,Sep,District of Columbia,"372,033",66.2,"21,547",5.5
2018,Sep,Florida,"9,790,750",57.2,"354,429",3.5
2018,Sep,Georgia,"4,919,812",60.6,"197,354",3.9
2018,Sep,Hawaii,"672,759",59.8,"17,718",2.6
2018,Sep,Idaho,"841,744",62.2,"24,639",2.8
2018,Sep,Illinois,"6,268,596",61.9,"285,424",4.4
2018,Sep,Indiana,"3,281,441",62.7,"118,486",3.5
2018,Sep,Iowa,"1,672,825",67.5,"43,106",2.5
2018,Sep,Kansas,"1,444,014",64.6,"49,544",3.3
2018,Sep,Kentucky,"1,963,906",56,"86,878",4.2
2018,Sep,Louisiana,"2,001,098",55.8,"101,512",4.8
2018,Sep,Maine,"677,698",60.8,"23,479",3.3
2018,Sep,Maryland,"3,150,326",65.2,"120,443",3.7
